date,value
1-12-2020,5636.064
2-12-2020,5499.302
3-12-2020,5625.853
4-12-2020,5796.078
5-12-2020,5736.518
6-12-2020,5843.902
7-12-2020,5414.979
8-12-2020,5576.621
9-12-2020,5443.095
10-12-2020,5259.616
11-12-2020,5419.312
12-12-2020,5227.474
13-12-2020,5206.891
14-12-2020,5487.147
15-12-2020,5362.413
16-12-2020,5363.735
17-12-2020,5361.661
18-12-2020,5315.024
19-12-2020,5401.46
20-12-2020,5318.795
21-12-2020,5316.768
22-12-2020,5300.107
23-12-2020,5220.695
24-12-2020,5478.371
25-12-2020,5145.506
26-12-2020,5149.765
27-12-2020,4684.294
28-12-2020,4575.059
29-12-2020,4853.955
30-12-2020,4902.37
31-12-2020,4919.662
1-1-2021,4763.339
2-1-2021,4869.572
3-1-2021,4773.603
4-1-2021,4815.918
5-1-2021,4854.591
6-1-2021,4848.181
7-1-2021,4987.856
8-1-2021,4625.312
9-1-2021,4620.183
10-1-2021,4700.24
11-1-2021,4489.074
12-1-2021,4351.565
13-1-2021,4600.975
14-1-2021,4573.136
15-1-2021,4674.919
16-1-2021,4897.59
17-1-2021,4598.818
18-1-2021,4520.928
19-1-2021,4554.244
20-1-2021,4525.149
21-1-2021,4586.113
22-1-2021,4516.408
23-1-2021,4356.859
24-1-2021,4177.824
25-1-2021,4236.536
26-1-2021,4413.464
27-1-2021,4402.561
28-1-2021,4575.008
29-1-2021,4404.708
30-1-2021,4563.42
31-1-2021,4551.918
1-2-2021,4338.094
2-2-2021,4235.307
3-2-2021,4408.029
4-2-2021,4377.703
5-2-2021,4347.909
6-2-2021,4377.59
7-2-2021,4309.203
8-2-2021,4300.127
9-2-2021,4340.188
10-2-2021,4341.675
11-2-2021,4454.576
12-2-2021,4316.709
13-2-2021,4439.471
14-2-2021,4334.91
15-2-2021,4211.71
16-2-2021,4142.171
17-2-2021,4268.815
18-2-2021,4193.23
19-2-2021,4411.78
20-2-2021,4473.06
21-2-2021,4403.091
22-2-2021,4534.824
23-2-2021,4519.315
24-2-2021,4372.328
25-2-2021,4234.295
26-2-2021,4152.141
27-2-2021,4244.745
28-2-2021,4222.561
1-3-2021,4291.422
2-3-2021,4292.29
3-3-2021,4279.102
4-3-2021,4482.689
5-3-2021,4460.907
6-3-2021,4288.189
7-3-2021,4541.711
8-3-2021,4426.058
9-3-2021,4488.944
10-3-2021,4365.258
11-3-2021,4532.996
12-3-2021,4282.817
13-3-2021,4568.792
14-3-2021,4402.206
15-3-2021,4354.829
16-3-2021,4225.225
17-3-2021,4503.569
18-3-2021,4143.525
19-3-2021,4464.455
20-3-2021,4567.653
21-3-2021,4419.863
22-3-2021,4131.017
23-3-2021,4270.911
24-3-2021,4261.653
25-3-2021,4340.199
26-3-2021,4265.71
27-3-2021,4129.845
28-3-2021,3822.002
29-3-2021,3908.964
30-3-2021,4204.859
31-3-2021,4511.615
1-4-2021,4241.219
2-4-2021,4246.453
3-4-2021,4066.85
4-4-2021,4049.622
5-4-2021,4008.906
6-4-2021,3920.295
7-4-2021,4099.525
8-4-2021,4087.824
9-4-2021,4272.38
10-4-2021,4357.164
11-4-2021,4350.208
12-4-2021,4435.366
13-4-2021,4233.167
14-4-2021,4048.674
15-4-2021,3958.971
16-4-2021,4108.306
17-4-2021,4231.269
18-4-2021,4168.449
19-4-2021,3947.542
20-4-2021,4079.396
21-4-2021,4056.964
22-4-2021,3893.382
23-4-2021,4137.692
24-4-2021,4177.227
25-4-2021,3944.614
26-4-2021,3856.418
27-4-2021,3820.035
28-4-2021,3864.075
29-4-2021,3867.049
30-4-2021,4271.466
1-5-2021,4069.973
2-5-2021,4339.48
3-5-2021,4472.119
4-5-2021,4239.616
5-5-2021,4251.942
6-5-2021,4392.247
7-5-2021,4549.976
8-5-2021,4618.802
9-5-2021,4585.291
10-5-2021,4710.794
11-5-2021,4602.131
12-5-2021,4676.471
13-5-2021,4156.896
14-5-2021,4621.24
15-5-2021,4451.419
16-5-2021,4505.418
17-5-2021,4382.04
18-5-2021,4642.541
19-5-2021,4518.436
20-5-2021,4435.262
21-5-2021,4678.983
22-5-2021,4833.842
23-5-2021,4699.25
24-5-2021,4447.491
25-5-2021,4486.82
26-5-2021,4601.357
27-5-2021,4428.626
28-5-2021,4774.546
29-5-2021,4645.775
30-5-2021,4268.016
31-5-2021,4486.768
1-6-2021,4317.439
2-6-2021,4231.956
3-6-2021,4524.153
4-6-2021,4742.776
5-6-2021,4776.761
